,text,rythm,rythm_tok,ipa,pos
20,"['stirne eine feste wand', 'da logirt der herr verstand', 'der wird lernen und studiren', 'daß sie einst dich respectiren', 'vornehm sitzt er in dem hirn', 'hinter dieser hohen stirn']","[[1, 0, 1, 0, 1, 0, 1], [1, 1, 0, 0, 1, 0, 1], [0.5, 0.5, 1, 0, 0, 0, 1, 0], [0.5, 0.5, 1, 0.5, 0, 0, 1, 0], [1, 0.5, 1, 0.5, 0.5, 0, 1], [1, 0, 1, 0, 1, 0, 1]]","[[[1, 0], [1, 0], [1, 0], [1]], [[1], [1, 0], [0], [1], [0, 1]], [[0.5], [0.5], [1, 0], [0], [0, 1, 0]], [[0.5], [0.5], [1], [0.5], [0, 0, 1, 0]], [[1, 0.5], [1], [0.5], [0.5], [0], [1]], [[1, 0], [1, 0], [1, 0], [1]]]","[['ˈʃtɪʁnə', 'ˈaɪnə', 'ˈfɛstə', 'vant'], ['da', 'ˈloɡɪʁt', 'deɐ', 'hɛʁ', 'fɛɐˈʃtant'], ['deɐ', 'vɪʁt', 'ˈlɛʁnən', 'ʊnt', 'ʃtuˈdiʁən'], ['das', 'zi', 'aɪnst', 'dɪç', 'ʁespɛkˈtiʁən'], ['ˈfoɐˌnem', 'zɪtst', 'eɐ', 'ɪn', 'dem', 'hɪʁn'], ['ˈhɪntɐ', 'ˈdizɐ', 'ˈhoən', 'ʃtɪʁn']]","[['NOUN', 'DET', 'ADJ', 'NOUN'], ['ADV', 'NOUN', 'DET', 'NOUN', 'VERB'], ['PRON', 'AUX', 'VERB', 'CCONJ', 'VERB'], ['SCONJ', 'PRON', 'ADV', 'PRON', 'NOUN'], ['ADV', 'VERB', 'PRON', 'ADP', 'DET', 'NOUN'], ['ADP', 'DET', 'ADJ', 'NOUN']]"
21,"['augenstern wie hell und klar', 'zweie glaub ich hast du gar', 'heller unter deiner braue', 'blickst du jetzt bei gott ich schaue', 'tief dir in des herzens kern', 'du mein süßer augenstern']","[[1, 0, 0.5, 0.5, 1, 0, 1], [1, 0, 1, 0.5, 0.5, 0.5, 1], [1, 0, 1, 0, 1, 0, 1, 0], [1, 0.5, 1, 0.5, 1, 0.5, 0, 0], [1, 0.5, 0.5, 0, 1, 0, 1], [0.5, 0, 1, 0, 1, 0, 0.5]]","[[[1, 0, 0.5], [0.5], [1], [0], [1]], [[1, 0], [1], [0.5], [0.5], [0.5], [1]], [[1, 0], [1, 0], [1, 0], [1, 0]], [[1], [0.5], [1], [0.5], [1], [0.5], [0, 0]], [[1], [0.5], [0.5], [0], [1, 0], [1]], [[0.5], [0], [1, 0], [1, 0, 0.5]]]","[['ˈaʊɡɛnˌʃtɛʁn', 'vi', 'hɛl', 'ʊnt', 'klaɐ'], ['ˈtsvaɪə', 'ɡlaʊp', 'ɪç', 'hast', 'du', 'ɡaɐ'], ['ˈhɛlɐ', 'ˈʊntɐ', 'ˈdaɪnɐ', 'ˈbʁaʊə'], ['blɪkst', 'du', 'jɛtst', 'baɪ', 'ɡɔt', 'ɪç', 'ʃaʊə'], ['tif', 'diɐ', 'ɪn', 'dɛs', 'ˈhɛʁtsɛns', 'kɛʁn'], ['du', 'maɪn', 'ˈzyzɐ', 'ˈaʊɡɛnˌʃtɛʁn']]","[['NOUN', 'ADP', 'ADV', 'CCONJ', 'ADV'], ['ADJ', 'NOUN', 'PRON', 'AUX', 'PRON', 'ADV'], ['PROPN', 'ADP', 'DET', 'NOUN'], ['VERB', 'PRON', 'ADV', 'ADP', 'NOUN', 'PRON', 'VERB'], ['ADV', 'PRON', 'ADP', 'DET', 'NOUN', 'NOUN'], ['PRON', 'DET', 'ADJ', 'NOUN']]"
22,"['nasengipfel rößlein fein', 'brille soll der reiter sein', 'weiß die brille nicht die straße', 'folgt sie ganz getrost der nase', 'ei welch kleiner runder schnüpfel', 'unser roß heißt nasengipfel']","[[1, 0, 0.5, 0, 1, 0, 1], [1, 0, 0.5, 0, 1, 0, 0.5], [1, 0, 1, 0, 0, 0, 1, 0], [1, 0.5, 1, 0, 1, 0, 1, 0], [0.5, 0, 1, 0, 1, 0, 1, 0], [1, 0, 0.5, 1, 1, 0, 0.5, 0]]","[[[1, 0, 0.5, 0], [1, 0], [1]], [[1, 0], [0.5], [0], [1, 0], [0.5]], [[1], [0], [1, 0], [0], [0], [1, 0]], [[1], [0.5], [1], [0, 1], [0], [1, 0]], [[0.5], [0], [1, 0], [1, 0], [1, 0]], [[1, 0], [0.5], [1], [1, 0, 0.5, 0]]]","[['ˈɛnaznˌɡɪpfɛl', 'ˈʁøslaɪn', 'faɪn'], ['ˈbʁɪlə', 'zɔl', 'deɐ', 'ˈʁaɪtɐ', 'zaɪn'], ['vaɪs', 'di', 'ˈbʁɪlə', 'nɪçt', 'di', 'ˈʃtʁazə'], ['fɔlkt', 'zi', 'ɡants', 'ɡəˈtʁost', 'deɐ', 'ˈnazə'], ['aɪ', 'vɛlç', 'ˈklaɪnɐ', 'ˈʁʊndɐ', 'ˈʃnʏpfɛl'], ['ˈʊnzɐ', 'ʁɔs', 'haɪst', 'ˈɛnaznˌɡɪpfɛl']]","[['NOUN', 'PROPN', 'ADV'], ['NOUN', 'AUX', 'DET', 'NOUN', 'AUX'], ['VERB', 'DET', 'NOUN', 'PART', 'DET', 'NOUN'], ['VERB', 'PRON', 'ADV', 'ADV', 'DET', 'NOUN'], ['X', 'DET', 'ADJ', 'ADJ', 'NOUN'], ['DET', 'PROPN', 'VERB', 'PROPN']]"
23,"['mäulchen wie ein kirschenpaar', 'du bist frisch und süß nicht wahr', 'ists gewiß auch daß die weißen', 'schelmenzähnchen mich nicht beißen', 'kleiner gieb ein küßchen mir', 'wipp ich stehls vom mäulchen dir']","[[1, 0, 0.5, 0, 1, 0, 0.5], [0.5, 0.5, 1, 0, 1, 0, 1], [0.5, 0, 1, 1, 0.5, 0, 1, 0], [1, 0, 0.5, 0, 0.5, 0, 1, 0], [1, 0, 1, 0, 1, 0, 0.5], [1, 0.5, 0.5, 0.5, 1, 0, 0.5]]","[[[1, 0], [0.5], [0], [1, 0, 0.5]], [[0.5], [0.5], [1], [0], [1], [0], [1]], [[0.5], [0, 1], [1], [0.5], [0], [1, 0]], [[1, 0, 0.5, 0], [0.5], [0], [1, 0]], [[1, 0], [1], [0], [1, 0], [0.5]], [[1], [0.5], [0.5], [0.5], [1, 0], [0.5]]]","[['ˈmɔɪlçən', 'vi', 'aɪn', 'ˈkɪʁʃɛnˌpaɐ'], ['du', 'bɪst', 'fʁɪʃ', 'ʊnt', 'zys', 'nɪçt', 'vaɐ'], ['ɪsts', 'ɡəˈvis', 'aʊx', 'das', 'di', 'ˈvaɪzɛn'], ['ˈʃɛlmənˌtsɛnçən', 'mɪç', 'nɪçt', 'ˈbaɪzɛn'], ['ˈklaɪnɐ', 'ɡip', 'aɪn', 'ˈkʏʃɛn', 'miɐ'], ['vɪp', 'ɪç', 'ʃtels', 'fɔm', 'ˈmɔɪlçən', 'diɐ']]","[['NOUN', 'ADP', 'DET', 'NOUN'], ['PRON', 'AUX', 'ADV', 'CCONJ', 'ADV', 'PART', 'ADV'], ['AUX', 'ADV', 'ADV', 'SCONJ', 'DET', 'ADJ'], ['VERB', 'PRON', 'PART', 'VERB'], ['ADJ', 'NOUN', 'DET', 'NOUN', 'PRON'], ['VERB', 'PRON', 'PROPN', 'ADP', 'ADJ', 'PRON']]"
24,"['kinn du zipfel angesetzt', 'ans gesicht du kommst zuletzt', 'doch ein schelm  muß ich gewahren ', 'kommt im grübchen da gefahren', 'flugs gehts übern nasengipfel', 'mäulchen zu des kinnes zipfel']","[[1, 0.5, 1, 0, 1, 0, 0.5], [0.5, 0, 1, 0.5, 1, 0, 1], [1, 0, 0.5, 0.5, 0.5, 0, 1, 0], [1, 0.5, 1, 0, 1, 0, 1, 0], [1, 0.5, 1, 0, 1, 0, 0.5, 0], [1, 0, 0.5, 0, 1, 0, 1, 0]]","[[[1], [0.5], [1, 0], [1, 0, 0.5]], [[0.5], [0, 1], [0.5], [1], [0, 1]], [[1], [0], [0.5], [0.5], [0.5], [0, 1, 0]], [[1], [0.5], [1, 0], [1], [0, 1, 0]], [[1], [0.5], [1, 0], [1, 0, 0.5, 0]], [[1, 0], [0.5], [0], [1, 0], [1, 0]]]","[['kɪn', 'du', 'ˈtsɪpfɛl', 'ˈanɡəˌzɛtst'], ['ans', 'ɡəˈzɪçt', 'du', 'kɔmst', 'tsuˈlɛtst'], ['dɔx', 'aɪn', 'ʃɛlm', 'mus', 'ɪç', 'ɡəˈvaʁən'], ['kɔmt', 'ɪm', 'ˈɡʁypçən', 'da', 'ɡəˈfaʁən'], ['flʊks', 'ɡets', 'ˈybɐn', 'ˈɛnaznˌɡɪpfɛl'], ['ˈmɔɪlçən', 'tsu', 'dɛs', 'ˈkɪnəs', 'ˈtsɪpfɛl']]","[['NOUN', 'PRON', 'NOUN', 'VERB'], ['ADP', 'NOUN', 'PRON', 'VERB', 'ADV'], ['ADV', 'DET', 'PROPN', 'AUX', 'PRON', 'VERB'], ['VERB', 'ADP', 'NOUN', 'ADV', 'VERB'], ['ADV', 'PROPN', 'ADP', 'NOUN'], ['NOUN', 'ADP', 'DET', 'NOUN', 'NOUN']]"
25,"['krible krable krible will', 'wohl der kleine sitzen still', 'soll ich nicht den wicht entdecken', 'der sich will da drin verstecken', 'siehst du daß ich jetzt ihn hab', 'krible krable krible krabb']","[[1, 0, 1, 0, 1, 0, 0.5], [1, 0, 1, 0, 1, 0, 1], [0.5, 0.5, 0, 0, 1, 0, 1, 0], [0.5, 0.5, 0.5, 1, 1, 0, 1, 0], [1, 0.5, 0.5, 0.5, 1, 0.5, 0.5], [1, 0, 1, 0, 1, 0, 0.5]]","[[[1, 0], [1, 0], [1, 0], [0.5]], [[1], [0], [1, 0], [1, 0], [1]], [[0.5], [0.5], [0], [0], [1], [0, 1, 0]], [[0.5], [0.5], [0.5], [1], [1], [0, 1, 0]], [[1], [0.5], [0.5], [0.5], [1], [0.5], [0.5]], [[1, 0], [1, 0], [1, 0], [0.5]]]","[['ˈkʁiblə', 'ˈkʁablə', 'ˈkʁiblə', 'vɪl'], ['vol', 'deɐ', 'ˈklaɪnə', 'ˈzɪtsɛn', 'ʃtɪl'], ['zɔl', 'ɪç', 'nɪçt', 'den', 'vɪçt', 'ɛntˈdɛkɛn'], ['deɐ', 'zɪç', 'vɪl', 'da', 'dʁɪn', 'fɛɐˈʃtɛkɛn'], ['zist', 'du', 'das', 'ɪç', 'jɛtst', 'in', 'hap'], ['ˈkʁiblə', 'ˈkʁablə', 'ˈkʁiblə', 'kʁap']]","[['ADJ', 'NOUN', 'NOUN', 'AUX'], ['ADV', 'DET', 'ADJ', 'VERB', 'ADV'], ['AUX', 'PRON', 'PART', 'DET', 'NOUN', 'VERB'], ['PRON', 'PRON', 'AUX', 'ADV', 'ADV', 'VERB'], ['VERB', 'PRON', 'SCONJ', 'PRON', 'ADV', 'PRON', 'AUX'], ['ADJ', 'ADJ', 'ADJ', 'PROPN']]"
26,"['das gothisch alte kronburg erglänzt im mondenlicht', 'am festungswalle schäumend die dunkle fluth sich bricht']","[[0, 1, 0, 1, 0, 1, 0, 0, 1, 0.5, 1, 0, 0.5], [0.5, 1, 0, 0.5, 0, 1, 0, 0, 1, 0, 0.5, 0.5, 1]]","[[[0], [1, 0], [1, 0], [1, 0], [0, 1], [0.5], [1, 0, 0.5]], [[0.5], [1, 0, 0.5, 0], [1, 0], [0], [1, 0], [0.5], [0.5], [1]]]","[['das', 'ˈɡotɪʃ', 'ˈaltə', 'ˈkʁonbʊʁk', 'ɛɐˈɡlɛntst', 'ɪm', 'ˈmondɛnˌlɪçt'], ['am', 'ˈfɛstʊŋsˌvalə', 'ˈʃɔɪmənt', 'di', 'ˈdʊŋklə', 'flut', 'zɪç', 'bʁɪçt']]","[['DET', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NOUN'], ['ADP', 'NOUN', 'ADV', 'DET', 'ADJ', 'PROPN', 'PRON', 'VERB']]"
27,"['wie schwäne gleiten schiffe hin auf des sundes well', 'von helsingborg her schimmert einsam ein lichtstrahl hell']","[[0.5, 1, 0, 1, 0, 1, 0, 1, 0.5, 0, 1, 0, 0.5], [0.5, 1, 0, 0.5, 0.5, 1, 0, 1, 0, 0, 1, 0.5, 1]]","[[[0.5], [1, 0], [1, 0], [1, 0], [1], [0.5], [0], [1, 0], [0.5]], [[0.5], [1, 0, 0.5], [0.5], [1, 0], [1, 0], [0], [1, 0.5], [1]]]","[['vi', 'ˈʃvɛnə', 'ˈɡlaɪtɛn', 'ˈʃɪfə', 'hɪn', 'aʊf', 'dɛs', 'ˈzʊndəs', 'vɛl'], ['fɔn', 'ˈhɛlzɪŋˌbɔʁk', 'heɐ', 'ˈʃɪmɐt', 'ˈaɪnzam', 'aɪn', 'ˈlɪçtˌʃtʁal', 'hɛl']]","[['ADP', 'NOUN', 'VERB', 'NOUN', 'ADV', 'ADP', 'DET', 'X', 'X'], ['ADP', 'PROPN', 'ADP', 'VERB', 'ADV', 'DET', 'NOUN', 'ADV']]"
28,"['still schlummert dänmarks küste in ihrer wälderpracht', 'doch pechschwarz ragt der kullen in sternenheller nacht']","[[1, 1, 0, 1, 0.5, 1, 0, 0.5, 1, 0, 1, 0, 0.5], [0, 1, 1, 1, 0, 1, 0, 0.5, 1, 0, 0.5, 0, 1]]","[[[1], [1, 0], [1, 0.5], [1, 0], [0.5], [1, 0], [1, 0, 0.5]], [[0], [1, 1], [1], [0], [1, 0], [0.5], [1, 0, 0.5, 0], [1]]]","[['ʃtɪl', 'ˈʃlʊmɐt', 'ˈdɛnˌmaʁks', 'ˈkʏstə', 'ɪn', 'ˈiʁɐ', 'ˈvɛldɐˌpʁaxt'], ['dɔx', 'ˈpɛçˈʃvaʁts', 'ʁakt', 'deɐ', 'ˈkʊlən', 'ɪn', 'ˈʃtɛʁnənˌhɛlɐ', 'naxt']]","[['ADV', 'VERB', 'PROPN', 'NOUN', 'ADP', 'DET', 'NOUN'], ['CCONJ', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'NOUN']]"
29,"['in kronburg klingen becher im alten rittersaal', 'ein freundeskreis vereinte sich hier zum frohen mahl']","[[0.5, 1, 0, 1, 0, 1, 0, 0.5, 1, 0, 1, 0, 0.5], [0, 1, 0, 0.5, 0, 1, 0, 0.5, 1, 0.5, 1, 0, 1]]","[[[0.5], [1, 0], [1, 0], [1, 0], [0.5], [1, 0], [1, 0, 0.5]], [[0], [1, 0, 0.5], [0, 1, 0], [0.5], [1], [0.5], [1, 0], [1]]]","[['ɪn', 'ˈkʁonbʊʁk', 'ˈklɪŋən', 'ˈbɛçɐ', 'ɪm', 'ˈaltɛn', 'ˈʁɪtɐˌzal'], ['aɪn', 'ˈfʁɔɪndəsˌkʁaɪs', 'fɛɐˈʔaɪntə', 'zɪç', 'hiɐ', 'tsʊm', 'ˈfʁoən', 'mal']]","[['ADP', 'PROPN', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN'], ['DET', 'NOUN', 'VERB', 'PRON', 'ADV', 'ADP', 'ADJ', 'NOUN']]"
