word,rythm
sonnenraum,[1.  0.  0.5]
zuviel,[1.  0.5]
gekämpfet,[0. 1. 0.]
sündenangst,[1.  0.  0.5]
seelennot,[1.  0.  0.5]
christe,[1. 0.]
wüßte,[1. 0.]
sternenauen,[1.  0.  0.  0.5 0. ]
unbestand,[1.  0.  0.5]
niederweht,[1.  0.  0.5]
irrland,[1. 0.]
woraus,[0. 1.]
erdenstaube,[1.  0.  0.5 0. ]
himmelsheld,[1.  0.  0.5]
schleuß,[0.5]
weltgewühl,[1.  0.  0.5]
erdenjammer,[1.  0.  0.5 0. ]
freudenüberfluß,[1.  0.  0.  0.5]
erhöhn,[0. 1.]
lebensschall,[1.  0.  0.5]
hüttenthür,[1.  0.  0.5 0. ]
schmerzensschall,[1.  0.  0.5]
best,[0.5]
sternenlauf,[1.  0.  0.5]
kindersinn,[1.  0.  0.5]
herzenswehr,[1.  0.  0.5]
seraphinen,[0. 0. 1. 0.]
erdenauen,[1.  0.  0.5 0. ]
jubelgesang,[1.  0.  0.  0.5]
lichtmeer,[1.  0.5]
gnadensegen,[1.  0.  0.5 0. ]
liedlein,[1. 0.]
jelängerundjelieber,[0.  1.  0.  0.  0.  0.5 0. ]
epheus,[1.]
zerrissne,[0. 1. 0.]
lenzeslust,[1.  0.  0.5]
liebesduft,[1.  0.  0.5]
blumenranken,[1.  0.  0.5 0. ]
traumgedanken,[1.  0.  0.5 0. ]
schmält,[0.5]
liebesklang,[1.  0.  0.5]
freudenschall,[1.  0.  0.5]
sophoklesse,[1.  0.  0.5 0. ]
homere,[0. 1. 0.]
goethen,[1. 0.]
jammertriller,[1.  0.  0.5 0. ]
befreier,[0. 1. 0.]
sündenland,[1.  0.  0.5]
sternenleier,[1.  0.  0.5 0. ]
morgenröten,[1.  0.  0.5 0. ]
urgesang,[1.  0.  0.5]
erdenflöten,[1.  0.  0.5 0. ]
lüstensatan,[1. 0. 0. 0.]
hellre,[1. 0.]
erdengraun,[1.  0.  0.5]
menschenangesichter,[1.  0.  0.5 0.  0.  0. ]
frühlingsbäume,[1.  0.  0.5 0. ]
blütenschnee,[1.  0.  0.5]
beleiben,[0. 1. 0.]
wonnemeer,[1.  0.  0.5]
mimerung,[1. 0. 0.]
sturmbewegter,[1.  0.  0.5 0. ]
blitzesleuchtung,[1.  0.  0.5 0. ]
hiehin,[1. 0.]
mitternachtspiel,[1.  0.  0.  0.5 0. ]
geistesverwirrung,[1.  0.  0.  0.5 0. ]
sehnsuchtsfragen,[1.  0.  0.5 0. ]
siegeskränze,[1.  0.  0.5 0. ]
kriegsgetümmel,[1.  0.  0.5 0. ]
andrängt,[1.  0.5]
vorficht,[1.  0.5]
mimern,[1. 0.]
flügelgeschwirr,[1.  0.  0.  0.5]
frühlingsglanz,[1.  0.  0.5]
allerstillster,[1.  0.  0.5 0. ]
entflohn,[0. 1. 0.]
weltgedränge,[1.  0.  0.5 0. ]
höhrer,[1. 0.]
lenzwind,[1.  0.5]
sonnenlauf,[1.  0.  0.5]
mondenlauf,[1.  0.  0.5]
durchkreist,[1.  0.5]
liebesort,[1.  0.  0.5]
versöhnungswort,[0.  1.  0.  0.5]
waldesnacht,[1.  0.  0.5]
gottesmacht,[1.  0.  0.5]
wonnestimmen,[1.  0.  0.5 0. ]
sonnenstraßen,[1.  0.  0.5 0. ]
miß,[0.5]
sonnenmaßen,[1.  0.  0.5 0. ]
himmelsraub,[1.  0.  0.5]
weltenmitten,[1.  0.  0.5 0. ]
goldkammiger,[1.  0.5 0.  0. ]
wunderrunen,[1.  0.  0.5 0. ]
leichengesänge,[1.  0.  0.5 0.  0. ]
kaiserpurpurs,[1.  0.  0.  0.5]
schandjahrhunderte,[1.  0.5 0.  0.  0. ]
mordlich,[1. 0.]
zeitentraum,[1.  0.  0.5]
heinriche,[1.  0.5 0. ]
friedriche,[1. 0. 0.]
goldkamm,[1.  0.5]
glückverkündender,[1.  0.  0.  0.5 0.  0. ]
lebensodem,[1.  0.  0.  0.5 0. ]
blutwilde,[1.  0.5 0. ]
entweihn,[0. 1.]
galgenraben,[1.  0.  0.5 0. ]
mitternachtgesang,[1.  0.  0.  0.5 0. ]
freiheitstötern,[1.  0.  0.5 0. ]
blindschleichs,[1.  0.5]
schlangenlist,[1.  0.5 0. ]
trommelschallen,[1.  0.  0.5 0. ]
schlachtenfeld,[1.  0.5 0. ]
waffenlosen,[1. 0. 0. 0.]
göttlichgeborenen,[1.  0.  0.5 0.  0.  0. ]
schlachtenbegeisterten,[1.  0.  0.5 0.  0.  0. ]
donnergeschossen,[1.  0.5 0.  0. ]
zerblitzen,[0. 1. 0.]
zerkrachen,[0. 1. 0.]
aberacht,[1.  0.5]
todeswund,[1.  0.  0.5]
übersatt,[0. 1.]
sterbestund,[1.  0.  0.5]
heimzubringen,[1.  0.  0.5 0. ]
jubelschall,[1.  0.  0.5]
kaiserschein,[1.  0.  0.5]
prophetenraben,[0.  1.  0.  0.5 0. ]
barbarossastein,[1.  0.  0.  0.  0.5 0.5]
hellern,[1. 0.]
feuerschwingen,[1.  0.  0.5 0. ]
aufschauten,[1.  0.5 0. ]
gottesheld,[1.  0.  0.5]
danaer,[1. 0. 0.]
trümmerhäusler,[1.  0.  0.5 0. ]
verschollenheiten,[0. 1. 0. 0. 0.]
jugendfrisch,[1.  0.  0.5]
felsgestein,[1.  0.  0.5]
liedertöne,[1.  0.  0.5 0. ]
drachenfels,[1.  0.  0.5]
rheineck,[1.  0.5]
hammerstein,[1.  0.  0.5]
vergänglichkeitsgestöhne,[0.  1.  0.  0.  0.5 0.  0. ]
trümmersteinen,[1.  0.  0.5 0. ]
geborstnen,[0. 1. 0. 0.]
großheit,[1. 0.]
teuto,[1. 0.]
karle,[1. 0. 0.]
jugendsonnenschein,[1.  0.  0.5 0.  0. ]
jugendglanz,[1.  0.  0.5]
ehrenbreitenstein,[0.  0.  1.  0.  0.5]
felsgesteine,[1.  0.  0.5 0. ]
erhabner,[0. 1. 0.]
leichenmoder,[1.  0.  0.5 0. ]
durcheinanderschmeißt,[0.5 0.  1.  0.  0.5]
ehrenzünder,[1.  0.  0.5 0. ]
schandebrecher,[1.  0.5 0.  0. ]
allerschwersten,[1.  0.  0.5 0. ]
donnerstrahl,[1.  0.  0.5]
himmelsreden,[1.  0.  0.5 0. ]
gottessprüche,[1.  0.  0.5 0. ]
geistersprüche,[1.  0.  0.5 0. ]
sternenwegen,[1.  0.  0.5 0. ]
landsverlassen,[1.  0.  0.5 0. ]
ehrennarben,[1.  0.  0.5 0.  0. ]
siebzehnhundertachtzig,[1.  0.  0.  0.5 0.  0. ]
kassellieder,[0. 1. 0. 0.]
stuttgartlieder,[1.  0.  0.5 0. ]
asbergskerkersängers,[0.  1.  0.  0.  0.5 0. ]
saratoga,[0.  1.  0.  0.5]
mohrensonn,[1.  0.  0.5]
neugeborne,[1.  0.  0.5 0. ]
neugenannte,[1.  0.  0.5 0. ]
achtzehnhundertfünfzig,[1.  0.  0.  0.5 0.  0. ]
landsverwiesen,[1.  0.  0.5 0. ]
thränenzorn,[1.  0.  0.5]
lebenswind,[1.  0.  0.5]
erstgebornes,[1.  0.  0.5 0. ]
verblühn,[0. 1.]
erloschner,[0. 1. 0.]
greisennacht,[1.  0.  0.5]
weiberhoffen,[1.  0.  0.5 0. ]
weiberzagen,[1.  0.  0.5 0. ]
adlerflügelschlag,[1.  0.  0.  0.  0.  0.5]
barbarossas,[0. 0. 0. 1. 0.]
zorngewalt,[1.  0.  0.5]
irrlauf,[1. 0.]
biß,[0.5]
erdentag,[1.  0.  0.5]
durchsungen,[1.  0.5 0. ]
wonnewort,[1.  0.  0.5]
sonnenangesicht,[1.  0.  0.5 0.  0. ]
pilgergang,[1.  0.  0.5]
schlafgeläute,[1.  0.5 0.  0. ]
verscheinen,[0. 1. 0.]
ewiggleiche,[1.  0.5 0. ]
bekrächzen,[0. 1. 0.]
adlerflucht,[1.  0.  0.5]
adlersiege,[1.  0.  0.5 0. ]
donnerblitz,[1.  0.  0.5]
donnerweiser,[1.  0.  0.5 0. ]
kriegstrompete,[1.  0.  0.5 0. ]
anglerjüngling,[1.  0.  0.5 0. ]
vollertsen,[1. 0. 0.]
männerstahl,[1.  0.  0.5]
sundia,[1. 0.]
sachsenkraft,[1.  0.  0.5]
lanzenschaft,[1. 0. 0.]
allgewaltige,[1.  0.  0.5 0.  0. ]
aufgerollt,[1.  0.  0.5]
heldenzahl,[1.  0.  0.5]
wappenstrahl,[1.  0.  0.5]
ruhmesgarben,[1.  0.  0.5 0. ]
strahlenstadtstralsund,[1.  0.  0.  0.5 0. ]
geburtszeichen,[0.  1.  0.5 0. ]
dessauer,[0. 1. 0.]
umgerollt,[1.  0.  0.5]
herzenstiefen,[1.  0.  0.5 0. ]
strahlensund,[1.  0.  0.5]
erdennot,[1.  0.  0.5]
hochgebornen,[1.  0.  0.5 0. ]
sanftbewegten,[1.  0.  0.5 0. ]
gestaltlos,[0. 1. 0.]
nachtigallkehle,[1.  0.  0.  0.5 0. ]
mnemosynens,[0. 0. 1. 0. 0.]
himmelsluft,[1.  0.  0.5]
blütenflocken,[1.  0.  0.5 0. ]
murmelquellen,[1.  0.  0.5 0. ]
frühlingsklange,[1.  0.  0.5 0. ]
süßbetörten,[1.  0.  0.5 0. ]
zauberkehle,[1.  0.  0.5 0. ]
pflüger,[1. 0.]
lerchensang,[1.  0.  0.5]
beklommne,[0. 1. 0.]
entflohnen,[0. 1. 0. 0.]
mittagswind,[1.  0.  0.5]
myrtenreis,[1.  0.  0.5]
kindleins,[1. 0.]
niederschmeißen,[1.  0.  0.5 0. ]
zehnmaltausend,[1.  0.  0.5 0. ]
siegeslieder,[1.  0.  0.5 0. ]
himmelkühnen,[1.  0.  0.5 0. ]
unvermeidlich,[1.  0.  0.5 0. ]
heimarmenens,[1. 0. 0. 0.]
heimarmene,[1. 0. 0. 0.]
sprühn,[0.5]
maienblüten,[1.  0.  0.5 0. ]
klanglos,[1.  0.  0.5]
heldenseelen,[1.  0.  0.5 0. ]
zeucht,[0.5]
traurende,[1.  0.5 0. ]
hirngewölb,[1.  0.  0.5]
männerschlacht,[1.  0.  0.5]
kupido,[0. 1. 0.]
lustgelag,[1.  0.  0.5]
jubeltisch,[1.  0.  0.5]
cytherens,[0. 1. 0.]
wassertrinker,[1.  0.  0.5 0. ]
spakrigen,[1. 0. 0.]
spakrig,[1. 0.]
spach,[0.5]
gepreßtem,[0. 1. 0.]
verspötter,[0. 1. 0.]
irrwisch,[1. 0.]
bacchuswut,[1.  0.  0.5]
sphärenton,[1.  0.  0.5]
donnerklängen,[1.  0.  0.5 0.  0. ]
runzlig,[1. 0.]
trunknen,[1. 0.]
graubart,[1. 0.]
stang,[0.5]
jubelvollen,[1.  0.  0.5 0. ]
sorgentotschlag,[1.  0.  0.  0.5]
himmelsterne,[1.  0.5 0.  0. ]
entgegenführt,[0.  1.  0.  0.5]
philistereinerleiheit,[0.5 0.  0.  1.  0.  0.5 0. ]
unbezwungnen,[1.  0.  0.5 0. ]
hochvergnügt,[1.  0.  0.5]
gelags,[0. 1.]
vieltausend,[1.  0.5 0. ]
zapfenloch,[1.  0.  0.5]
cytheren,[1. 0. 0.]
heiligung,[1. 0. 0.]
pylades,[0. 1. 0.]
orestes,[1. 0.]
götterheimat,[1.  0.  0.5 0. ]
zecherorden,[1.  0.  0.5 0. ]
tyrannenhaß,[0.  1.  0.  0.5]
sorgenhaß,[1.  0.  0.5]
hinsanken,[1.  0.5 0. ]
becherklang,[1.  0.5]
ründung,[1. 0.]
platonen,[0. 1. 0.]
prose,[1. 0.]
ründungen,[1. 0. 0.]
tichten,[1. 0.]
entfliehn,[0. 1.]
waffenklang,[1.  0.  0.5]
heldenbrüder,[1.  0.  0.5 0. ]
heldenreihn,[1.  0.  0.5]
frein,[0.5]
jugendblüte,[1.  0.  0.5 0.  0. ]
umsäuselt,[1.  0.5 0. ]
eignes,[1. 0.]
blumental,[1. 0. 0.]
nachtviole,[1.  0.5 0.  0. ]
buhlereien,[0. 1. 0. 0.]
tulipane,[0. 0. 1. 0.]
wunderfreundlich,[1.  0.  0.5 0. ]
lenzesstrahl,[1.  0.  0.5]
allerschärfste,[1. 0. 0. 0.]
verlorn,[0. 1.]
menschenantlitz,[1.  0.  0.5 0.  0. ]
götterpokal,[1.  0.  0.5 0. ]
menschengesicht,[1.  0.  0.5 0. ]
oloff,[1.]
ritterwille,[1.  0.  0.5 0. ]
sigurd,[0. 1.]
ivar,[1.]
gastgebot,[1.  0.  0.5]
oloffs,[1.]
ernstlich,[1. 0.]
verschlungnes,[0. 1. 0.]
eilends,[1.]
wasserleer,[1.  0.  0.5]
goldnes,[1. 0.]
wohlgemut,[1.  0.  0.5]
blütenhauch,[1.  0.  0.5]
blumenraub,[1.  0.  0.5]
blumenliebesgruß,[1.  0.  0.  0.  0.5]
frühlingsschein,[1.  0.  0.5]
blumenreich,[1.  0.  0.5]
frühlingskind,[1.  0.  0.5]
erlenbusch,[1.  0.  0.5]
trauerschall,[1.  0.  0.5]
schmerzenreiche,[1.  0.  0.5 0. ]
honigdieb,[1.  0.  0.5]
blumenliebeskost,[1.  0.  0.  0.  0.5]
liebesqlanz,[1.  0.  0.5]
sklavenfürsten,[1.  0.  0.5 0. ]
winkelried,[1.  0.  0.5]
oranien,[1. 0. 0.]
generalstatthalter,[0.  0.  1.  0.5 0.  0. ]
ruyter,[1. 0.]
seeheld,[1.  0.5]
selbstgebornen,[1.  0.  0.5 0. ]
vorangeworfen,[0.  1.  0.  0.5 0. ]
brautgruß,[1.  0.5]
mutterschoß,[1.  0.  0.5]
umgürte,[1.  0.5 0. ]
männerleib,[1.  0.  0.5]
lügenwort,[1.  0.  0.5]
henkerschwert,[1.  0.  0.5]
freiheitsfeind,[1.  0.  0.5]
kanonendonnerklang,[0.  1.  0.  0.5 0.  0. ]
gegrüßet,[0. 1. 0.]
räuschchen,[1. 0.]
moses,[0.5]
solon,[0. 1.]
plato,[1. 0.]
nektarnaß,[0.  1.  0.5]
überschwenglich,[1.  0.5 0. ]
lebensflammen,[1.  0.  0.5 0. ]
cypriens,[0. 1. 0.]
sternenpracht,[1.  0.  0.5]
gestirneten,[0. 1. 0. 0.]
sonnenkinder,[1.  0.  0.5 0. ]
wonniglich,[1. 0. 0.]
liebesbusen,[1.  0.  0.5 0. ]
erdennacht,[1.  0.  0.5]
hagre,[1. 0. 0.]
magnus,[1. 0.]
heldenschritt,[1.  0.  0.5]
lorbeerreiser,[1.  0.  0.5 0. ]
vätertugend,[1.  0.  0.5 0. ]
heldensohn,[1.  0.  0.5 0. ]
königswort,[1.  0.  0.5]
königsleben,[1.  0.  0.5 0. ]
schwertesschein,[1.  0.  0.5]
frühlingsbote,[1.  0.  0.5 0. ]
phantaseien,[0. 1. 0. 0.]
götterspiel,[1.  0.  0.5]
göttlichkeit,[1.  0.  0.5]
götterfunken,[1.  0.  0.5 0. ]
parzenfaden,[1.  0.  0.  0.5 0. ]
frühlingslust,[1.  0.  0.5]
abwendig,[1.  0.5 0. ]
marienwürmchen,[0.  1.  0.  0.5 0. ]
würmchen,[1. 0.]
schelmerein,[1.  0.5 0. ]
krötentücken,[1.  0.  0.5 0. ]
kinderlein,[1. 0. 0.]
heißahei,[1.  0.5]
abermal,[1. 0.]
schattengebüsch,[1.  0.  0.5 0. ]
totenreigen,[1.  0.  0.5 0. ]
apollons,[0. 1.]
unvergänglich,[1.  0.  0.5 0. ]
unterird,[1.  0.  0.5]
begier,[0. 1.]
kinderworte,[1.  0.  0.5 0. ]
kinderwahn,[1.  0.  0.5]
verschiednen,[0. 1. 0.]
geisterbrücke,[1.  0.  0.5 0. ]
erdental,[1.  0.  0.5]
vergisset,[0. 1. 0.]
wirret,[1. 0.]
truggewirre,[1.  0.  0.5 0. ]
liebesarmen,[1.  0.  0.5 0. ]
erwarmen,[0. 1. 0.]
sternenheere,[1.  0.  0.5 0. ]
himmelshaus,[1.  0.  0.5]
sternentanze,[1.  0.  0.5 0. ]
übervoll,[1.  0.5]
schufest,[1. 0.]
kränzlein,[1. 0.]
wunderbarliche,[1. 0. 0. 0. 0. 0.]
jubelring,[1.  0.  0.5]
empfahn,[0. 1.]
kindereinfalt,[1.  0.  0.  0.5 0. ]
blumenkeim,[1.  0.  0.5]
gespiegel,[0. 1. 0.]
betränte,[0. 1. 0.]
gespielen,[0. 1. 0.]
vorüberrauscht,[0.  1.  0.5]
todesurne,[1.  0.  0.5 0. ]
erdentand,[1.  0.  0.5]
eija,[1. 0.]
lebensglut,[1.  0.  0.5]
engelgesichter,[1.  0.  0.5 0.  0. ]
himmelsgespielen,[1.  0.  0.5 0.  0. ]
sonnenkindlein,[1.  0.  0.5 0. ]
liebesäuglein,[1.  0.  0.5 0. ]
entblühten,[0. 1. 0.]
hinaufwärts,[0.  1.  0.5]
königinnenart,[1.  0.  0.  0.  0.5]
saitentöne,[1.  0.  0.5 0. ]
wiederkömmt,[1.  0.  0.5]
kränzelein,[1. 0. 0.]
himmelssegen,[1.  0.  0.5 0. ]
engelhand,[1.  0.  0.5]
himmelsart,[1.  0.  0.5]
erdenblumen,[1.  0.  0.5 0. ]
sommermatten,[1.  0.  0.5 0. ]
wehmutsglocke,[1.  0.  0.5 0. ]
wolkenbläue,[1.  0.  0.5]
menschenwort,[1.  0.  0.5]
weltenräder,[1.  0.  0.5 0. ]
teufelskissen,[1.  0.  0.5 0. ]
himmelsgeist,[1.  0.  0.5]
nebelschein,[1.  0.  0.5]
auszuruhn,[1.  0.  0.5]
hüttentür,[1.  0.  0.5]
herfür,[1. 0.]
liebesdank,[1.  0.  0.5]
liebesgruß,[1.  0.  0.5]
wollst,[0.5]
sonnenkreisen,[1.  0.  0.5 0. ]
friedensboten,[1.  0.  0.5 0. ]
engelgruß,[1.  0.  0.5]
heimzuholen,[1.  0.  0.  0.5]
zeisiglein,[1. 0. 0. 0.]
liebesneigen,[1.  0.  0.5 0. ]
feuerstrom,[1.  0.  0.5]
sternenlichter,[1.  0.  0.5 0. ]
brüderschar,[1.  0.  0.5]
engelangesichter,[1.  0.  0.  0.5 0.  0. ]
sternenraum,[1.  0.  0.5]
sumsete,[0. 1. 0.]
freudenlicht,[1.  0.  0.5]
sternenhauch,[1.  0.  0.5]
anvermählt,[1.  0.  0.5]
erdenstürme,[1.  0.  0.5 0. ]
überschwillt,[1.  0.5]
maientag,[1.  0.  0.5]
sonnenhaus,[1.  0.  0.5]
engelgespiele,[1.  0.  0.5 0.  0. ]
erdenmaitag,[1.  0.  0.5 0. ]
blumenauen,[1. 0. 0. 0. 0.]
einfältiglich,[1. 0. 0. 0.]
überfleußt,[0.5 1. ]
sündenwahn,[1.  0.  0.5]
kinderunschuld,[1.  0.  0.5 0. ]
herabgesandt,[0.  1.  0.  0.5]
zerriß,[0. 1.]
unerschöpften,[1.  0.  0.5 0. ]
gefallne,[0. 1. 0.]
himmelstoren,[1.  0.  0.5 0.  0. ]
pilgerlauf,[1.  0.  0.5]
allerbest,[1.  0.5 0. ]
himmelspracht,[1.  0.  0.5 0. ]
gotteskind,[1.  0.  0.5]
schneeblümchen,[1.  0.5 0.  0. ]
holdselig,[1.  0.5 0. ]
merlblümchen,[1.  0.  0.5 0. ]
wieviel,[0. 1.]
blumenseelen,[1.  0.  0.5 0. ]
sonnenkleid,[1.  0.  0.5]
geisterschemen,[1.  0.  0.5 0. ]
lilienmädchen,[1.  0.  0.  0.5 0. ]
freun,[0.5]
himmelsthron,[1.  0.  0.5]
himmelsbrücken,[1.  0.  0.5 0. ]
gnadenschoß,[1.  0.  0.5]
hulden,[1. 0.]
redten,[1. 0.]
blumenkönigin,[1.  0.  0.5 0.  0. ]
erstlingstochter,[1.  0.  0.  0.5 0. ]
lenzige,[1. 0. 0.]
brünnelein,[1. 0. 0.]
schwesterherz,[1.  0.5 0. ]
engelgesicht,[1.  0.  0.5 0. ]
lebensbild,[1.  0.  0.5]
lenzigen,[1. 0. 0.]
liebestreu,[1.  0.  0.5]
liebeshuld,[1.  0.  0.5]
durft,[0.5]
treulieb,[1.  0.5]
schlüg,[0.5]
vieltausendmal,[1. 0. 0. 0.]
wängelein,[1. 0. 0.]
flattrer,[1. 0. 0.]
blumenhauch,[1.  0.  0.5]
himmelsmädchen,[1.  0.  0.5 0. ]
menschenherzen,[1.  0.  0.5 0. ]
himmelsherold,[1.  0.  0.5 0. ]
ungesehen,[1.  0.  0.5 0. ]
heiligtume,[1. 0. 0. 0.]
cypris,[1. 0.]
zuteil,[0. 1.]
sträuchen,[1. 0.]
himmelsräumen,[1.  0.  0.5 0. ]
mitschwärmen,[1.  0.5 0. ]
herbrausen,[0. 1. 0.]
donnergeschosse,[1.  0.5 0.  0. ]
schaffer,[1. 0.]
weibergebärde,[1.  0.  0.  0.5 0. ]
himmelsgewölbe,[1.  0.  0.5 0.  0. ]
bübischen,[1. 0. 0.]
sklavenpeitsche,[1.  0.  0.5 0. ]
tyrannenüberwinder,[0.  1.  0.  0.  0.5 0. ]
sklavenhorden,[1.  0.  0.5 0. ]
despotenschande,[0.  1.  0.5 0. ]
durchstrahlen,[1.  0.5 0. ]
fährlichen,[1. 0. 0.]
henkerbeil,[1.  0.  0.5]
flohn,[0.5]
büberei,[0. 0. 1.]
weiberangesicht,[1.  0.  0.  0.  0.5]
hundeschwänzt,[1.  0.  0.5]
verborgnem,[0. 1. 0.]
götterleben,[1.  0.  0.5 0. ]
freiheitshort,[1.  0.  0.5]
zweiglein,[1. 0.]
blumenliebe,[1.  0.  0.5 0. ]
honigdiebe,[1.  0.  0.5 0. ]
frühlingskindlein,[1.  0.  0.5 0. ]
königinne,[1. 0. 0. 0.]
kinderwahne,[1.  0.  0.5]
veilchenstrauch,[1.  0.  0.5]
mühmchen,[1. 0.]
ehrenpreis,[1.  0.  0.5]
geliebet,[0. 1. 0.]
sommerau,[1.  0.5]
blumenleben,[1.  0.  0.5 0. ]
herabgeschneit,[0.  1.  0.  0.5]
auferstehn,[1.  0.  0.5]
vorwelt,[1.  0.5]
sternenlande,[1.  0.  0.5 0. ]
götterhügel,[1.  0.  0.5 0. ]
ungetrübten,[1.  0.  0.5 0. ]
ätherschwingen,[1.  0.5 0. ]
geahnet,[0. 1. 0.]
brünstiglich,[1. 0. 0.]
himmelsfluge,[1.  0.  0.5 0. ]
himmelsliebe,[1.  0.  0.5 0. ]
frühlingssonnenstrahle,[1.  0.  0.5 0.  0.  0. ]
vertraun,[0. 1.]
maienkränzelein,[1.  0.  0.5 0.  0. ]
mädelein,[1. 0. 0.]
tausendschönchen,[1.  0.  0.5 0. ]
konvallen,[0. 1. 0.]
konvalle,[0. 1. 0.]
maiblume,[1.  0.5 0. ]
trauerkraut,[1.  0.  0.5]
treuliebe,[1.  0.5 0. ]
götterlichter,[1.  0.  0.5 0. ]
unschuldskinder,[1.  0.  0.5 0. ]
waret,[1. 0.]
unvergängliche,[1.  0.  0.5 0.  0. ]
geisteratems,[1. 0. 0. 0.]
himmelsschein,[1.  0.  0.5]
unglückswetter,[1.  0.  0.  0.5 0. ]
höllentief,[1.  0.  0.5]
feldgeschrei,[1.  0.  0.5]
angetraut,[1.  0.  0.5]
franzosenwicht,[0.  1.  0.  0.5]
ehrendieb,[1.  0.  0.5]
freiheitsdieb,[1.  0.  0.5]
schildwach,[1.  0.5]
höhnelnd,[1.]
bleut,[0.5]
hündisch,[1. 0.]
schlugest,[1. 0.]
heldenmark,[1.  0.  0.5]
wehrlich,[1. 0.]
glittert,[1. 0.]
glittern,[1. 0.]
ehrenschein,[1.  0.  0.5]
schlachtendonnerwetter,[1.  0.  0.5 0.  0.  0. ]
insgemein,[0. 0. 1.]
überwinder,[0. 1. 0.]
zerhadern,[0. 1. 0.]
wackre,[1. 0.]
siegesflut,[1.  0.  0.5]
schlangenkünsten,[1. 0. 0. 0.]
satansnest,[1.  0.  0.5]
sklavenpein,[1.  0.  0.5]
feindeszahl,[1.  0.  0.5]
pulverrauch,[1.  0.  0.5]
wiedersehn,[1.  0.  0.5]
scherwenzel,[1.  0.5 0. ]
verlästern,[0. 1. 0.]
himmelswahn,[1.  0.  0.5]
leutchen,[1. 0.]
erdenflur,[1.  0.  0.5]
engelfreud,[1.  0.  0.5]
sternenblick,[1.  0.  0.5]
segenshand,[1.  0.  0.5]
himmelsglück,[1.  0.  0.5]
erdenjungfraun,[1. 0. 0. 0.]
himmelstanz,[1.  0.  0.5 0. ]
lilienmaid,[1.  0.  0.  0.5]
verlaß,[0. 1.]
güldne,[1. 0.]
himmelsweide,[1.  0.  0.5 0. ]
weltenenden,[1.  0.  0.  0.5]
erdengrab,[1.  0.  0.5]
erdenqualen,[1.  0.  0.5 0. ]
herniederblinkt,[0.  1.  0.  0.5]
erhalter,[0. 1. 0.]
gleichbestimmten,[1.  0.  0.5 0. ]
gestellet,[0. 1. 0.]
sonnenchor,[1.  0.  0.5]
geisterheimat,[1.  0.  0.5 0. ]
schalkisch,[1. 0.]
donnerers,[1. 0. 0.]
umwoben,[0. 1. 0.]
niedersenden,[1.  0.  0.5 0. ]
phöbus,[1. 0.]
schwertertänze,[1.  0.5 0.  0. ]
psychidion,[0.5 0.  1.  0. ]
erdentals,[1.  0.  0.5]
ausgoß,[1.  0.5]
engelflügel,[1.  0.  0.5 0. ]
frühlicht,[1.  0.5]
berghöh,[1.  0.5]
gauklisch,[1. 0. 0.]
talkluft,[1.  0.5]
nachtigallieder,[1.  0.  0.  0.5 0. ]
feldchen,[1. 0.]
berghöhn,[1.  0.5]
tigerrachen,[1.  0.  0.5 0. ]
katzenbosheit,[1.  0.  0.5 0. ]
greuels,[1. 0.]
gottgeboren,[1.  0.  0.5 0. ]
sonnenschimmer,[1.  0.  0.5 0. ]
schwerteshiebe,[1.  0.  0.5 0. ]
feuertaufe,[1.  0.  0.5 0. ]
männertugend,[1.  0.  0.5 0. ]
kindheitsbilder,[1.  0.  0.5 0. ]
taubenspiel,[1.  0.  0.5]
büblein,[1. 0.]
enkelgeschlecht,[1.  0.  0.  0.5]
achtzehnhundert,[1.  0.  0.5 0. ]
innigst,[1. 0.]
dohnen,[1. 0.]
himmelsrand,[1.  0.  0.5]
büsch,[0.5]
rosenköpfen,[1.  0.  0.5 0. ]
türenwache,[1.  0.  0.5 0. ]
balsamin,[0. 0. 1.]
lenzgewimmel,[1.  0.  0.  0.5]
engelbild,[1.  0.  0.5]
holdseliger,[1.  0.5 0.  0. ]
rosenbäume,[1.  0.  0.5 0. ]
spiegelrein,[1.  0.  0.5]
spahn,[0.5]
laulig,[1. 0.]
wintrige,[1. 0. 0.]
elfenring,[1.  0.  0.5]
fantasus,[0. 1. 0.]
blumenkuß,[1.  0.  0.5]
altfrau,[1.  0.5]
sternenchor,[1.  0.  0.5]
geisterchor,[1.  0.  0.5]
zweigelein,[1. 0. 0.]
klöpsel,[1. 0.]
honigseim,[1.  0.  0.5]
sterngespann,[1.  0.  0.5]
geigenmann,[1.  0.  0.5]
felsenwalle,[1.  0.  0.5 0. ]
felsenbett,[1.  0.  0.5]
ruhstätte,[1.  0.5 0. ]
geisterschwinge,[1.  0.  0.5 0. ]
felsenboden,[1.  0.  0.5 0. ]
wolkengeister,[1.  0.  0.5 0. ]
waffenbrüder,[1.  0.  0.5 0. ]
falkenschwert,[1.  0.  0.5]
starkoddur,[1. 0. 0.]
streitgenossen,[1.  0.  0.5 0. ]
nachtgesindel,[1.  0.  0.5 0. ]
wassergrund,[1.  0.  0.5]
lanzenrenner,[1.  0.  0.5 0. ]
diamantner,[0.5 0.  1.  0. ]
begrabnen,[0. 1. 0.]
mälarns,[1.]
sternenrund,[1.  0.  0.5]
freudenzeugen,[1.  0.  0.5 0. ]
sommersonnen,[1.  0.  0.5 0. ]
